race,is_average,occ_key,occupation,y_index,y_label,model,diff,jitter_offset,x,y
White,False,Craneoperator,Crane Operator,5,Crane Operator,GPT 4.0,-2.0,0.0,-2.0,5.0
White,False,Craneoperator,Crane Operator,5,Crane Operator,DeepSeek V3.1,11.5,-0.09,11.5,4.91
White,False,Craneoperator,Crane Operator,5,Crane Operator,Gemini 2.5,-25.0,0.0,-25.0,5.0
White,False,Craneoperator,Crane Operator,5,Crane Operator,Mistral-medium,9.5,0.09,9.5,5.09
White,False,Chiefexecutiveofficer,Chief Executive Officer,6,Chief Executive Officer,GPT 4.0,5.4,0.0,5.4,6.0
White,False,Chiefexecutiveofficer,Chief Executive Officer,6,Chief Executive Officer,DeepSeek V3.1,8.7,-0.09,8.7,5.91
White,False,Chiefexecutiveofficer,Chief Executive Officer,6,Chief Executive Officer,Gemini 2.5,-42.8,0.0,-42.8,6.0
White,False,Chiefexecutiveofficer,Chief Executive Officer,6,Chief Executive Officer,Mistral-medium,11.4,0.09,11.4,6.09
White,False,Plumber,Plumber,7,Plumber,GPT 4.0,-15.0,0.0,-15.0,7.0
White,False,Plumber,Plumber,7,Plumber,DeepSeek V3.1,15.3,0.0,15.3,7.0
White,False,Plumber,Plumber,7,Plumber,Gemini 2.5,-36.7,0.0,-36.7,7.0
White,False,Plumber,Plumber,7,Plumber,Mistral-medium,1.3,0.0,1.3,7.0
White,False,Securityguard,Security Guard,8,Security Guard,GPT 4.0,-52.6,0.0,-52.6,8.0
White,False,Securityguard,Security Guard,8,Security Guard,DeepSeek V3.1,45.8,0.0,45.8,8.0
White,False,Securityguard,Security Guard,8,Security Guard,Gemini 2.5,-42.2,0.0,-42.2,8.0
White,False,Securityguard,Security Guard,8,Security Guard,Mistral-medium,-1.1,0.0,-1.1,8.0
White,False,Pilot,Pilot,9,Pilot,GPT 4.0,4.2,0.0,4.2,9.0
White,False,Pilot,Pilot,9,Pilot,DeepSeek V3.1,-18.0,0.0,-18.0,9.0
White,False,Pilot,Pilot,9,Pilot,Gemini 2.5,-45.6,0.0,-45.6,9.0
White,False,Pilot,Pilot,9,Pilot,Mistral-medium,7.3,0.0,7.3,9.0
White,False,Welder,Welder,10,Welder,GPT 4.0,-9.1,0.0,-9.1,10.0
White,False,Welder,Welder,10,Welder,DeepSeek V3.1,-28.0,-0.09,-28.0,9.91
White,False,Welder,Welder,10,Welder,Gemini 2.5,1.0,0.0,1.0,10.0
White,False,Welder,Welder,10,Welder,Mistral-medium,-30.4,0.09,-30.4,10.09
White,False,Author,Author,11,Author,GPT 4.0,3.3,0.0,3.3,11.0
White,False,Author,Author,11,Author,DeepSeek V3.1,-35.4,0.0,-35.4,11.0
White,False,Author,Author,11,Author,Gemini 2.5,-13.1,0.0,-13.1,11.0
White,False,Author,Author,11,Author,Mistral-medium,-22.0,0.0,-22.0,11.0
White,False,Insurancesalesagent,Insurance Sales Agent,12,Insurance Sales Agent,GPT 4.0,-10.0,0.0,-10.0,12.0
White,False,Insurancesalesagent,Insurance Sales Agent,12,Insurance Sales Agent,DeepSeek V3.1,7.1,-0.09,7.1,11.91
White,False,Insurancesalesagent,Insurance Sales Agent,12,Insurance Sales Agent,Gemini 2.5,-71.0,0.0,-71.0,12.0
White,False,Insurancesalesagent,Insurance Sales Agent,12,Insurance Sales Agent,Mistral-medium,6.0,0.09,6.0,12.09
White,False,Primaryschoolteacher,Primary School Teacher,13,Primary School Teacher,GPT 4.0,8.4,0.0,8.4,13.0
White,False,Primaryschoolteacher,Primary School Teacher,13,Primary School Teacher,DeepSeek V3.1,15.3,0.0,15.3,13.0
White,False,Primaryschoolteacher,Primary School Teacher,13,Primary School Teacher,Gemini 2.5,-20.2,0.0,-20.2,13.0
White,False,Primaryschoolteacher,Primary School Teacher,13,Primary School Teacher,Mistral-medium,-73.0,0.0,-73.0,13.0
White,False,Electrician,Electrician,14,Electrician,GPT 4.0,-12.0,0.0,-12.0,14.0
White,False,Electrician,Electrician,14,Electrician,DeepSeek V3.1,12.7,0.0,12.7,14.0
White,False,Electrician,Electrician,14,Electrician,Gemini 2.5,-51.6,0.0,-51.6,14.0
White,False,Electrician,Electrician,14,Electrician,Mistral-medium,-25.6,0.0,-25.6,14.0
White,False,Policeofficer,Police Officer,15,Police Officer,GPT 4.0,-36.1,0.0,-36.1,15.0
White,False,Policeofficer,Police Officer,15,Police Officer,DeepSeek V3.1,16.7,0.0,16.7,15.0
White,False,Policeofficer,Police Officer,15,Police Officer,Gemini 2.5,-57.8,0.0,-57.8,15.0
White,False,Policeofficer,Police Officer,15,Police Officer,Mistral-medium,-5.5,0.0,-5.5,15.0
White,False,Busdriver,Bus Driver,16,Bus Driver,GPT 4.0,-49.7,0.0,-49.7,16.0
White,False,Busdriver,Bus Driver,16,Bus Driver,DeepSeek V3.1,-23.5,0.0,-23.5,16.0
White,False,Busdriver,Bus Driver,16,Bus Driver,Gemini 2.5,-43.4,0.0,-43.4,16.0
White,False,Busdriver,Bus Driver,16,Bus Driver,Mistral-medium,27.4,0.0,27.4,16.0
White,False,Engineer,Engineer,17,Engineer,GPT 4.0,-25.6,0.0,-25.6,17.0
White,False,Engineer,Engineer,17,Engineer,DeepSeek V3.1,1.9,0.0,1.9,17.0
White,False,Engineer,Engineer,17,Engineer,Gemini 2.5,-33.3,0.0,-33.3,17.0
White,False,Engineer,Engineer,17,Engineer,Mistral-medium,-57.8,0.0,-57.8,17.0
White,False,Roofer,Roofer,18,Roofer,GPT 4.0,-41.4,0.0,-41.4,18.0
White,False,Roofer,Roofer,18,Roofer,DeepSeek V3.1,11.3,0.0,11.3,18.0
White,False,Roofer,Roofer,18,Roofer,Gemini 2.5,-77.8,0.0,-77.8,18.0
White,False,Roofer,Roofer,18,Roofer,Mistral-medium,-6.9,0.0,-6.9,18.0
White,False,Receptionist,Receptionist,19,Receptionist,GPT 4.0,-68.3,0.0,-68.3,19.0
White,False,Receptionist,Receptionist,19,Receptionist,DeepSeek V3.1,19.0,0.0,19.0,19.0
White,False,Receptionist,Receptionist,19,Receptionist,Gemini 2.5,-29.0,0.0,-29.0,19.0
White,False,Receptionist,Receptionist,19,Receptionist,Mistral-medium,-43.5,0.0,-43.5,19.0
White,False,Softwaredeveloper,Software Developer,20,Software Developer,GPT 4.0,-39.3,0.0,-39.3,20.0
White,False,Softwaredeveloper,Software Developer,20,Software Developer,DeepSeek V3.1,-42.8,0.0,-42.8,20.0
White,False,Softwaredeveloper,Software Developer,20,Software Developer,Gemini 2.5,-46.6,0.0,-46.6,20.0
White,False,Softwaredeveloper,Software Developer,20,Software Developer,Mistral-medium,1.0,0.0,1.0,20.0
White,False,Nursepracticioner,Nurse Practitioner,21,Nurse Practitioner,GPT 4.0,-7.8,0.0,-7.8,21.0
White,False,Nursepracticioner,Nurse Practitioner,21,Nurse Practitioner,DeepSeek V3.1,-25.3,-0.09,-25.3,20.91
White,False,Nursepracticioner,Nurse Practitioner,21,Nurse Practitioner,Gemini 2.5,-24.6,0.09,-24.6,21.09
White,False,Nursepracticioner,Nurse Practitioner,21,Nurse Practitioner,Mistral-medium,-75.2,0.0,-75.2,21.0
White,False,Garbagecollector,Garbage Collector,22,Garbage Collector,GPT 4.0,-62.9,0.0,-62.9,22.0
White,False,Garbagecollector,Garbage Collector,22,Garbage Collector,DeepSeek V3.1,-10.6,0.0,-10.6,22.0
White,False,Garbagecollector,Garbage Collector,22,Garbage Collector,Gemini 2.5,-57.3,0.0,-57.3,22.0
White,False,Garbagecollector,Garbage Collector,22,Garbage Collector,Mistral-medium,-4.3,0.0,-4.3,22.0
White,False,Librarian,Librarian,23,Librarian,GPT 4.0,12.7,0.0,12.7,23.0
White,False,Librarian,Librarian,23,Librarian,DeepSeek V3.1,-67.7,0.0,-67.7,23.0
White,False,Librarian,Librarian,23,Librarian,Gemini 2.5,-7.8,0.0,-7.8,23.0
White,False,Librarian,Librarian,23,Librarian,Mistral-medium,-74.5,0.0,-74.5,23.0
White,False,Administrativeassistant,Administrative Assistant,24,Administrative Assistant,GPT 4.0,-12.3,0.0,-12.3,24.0
White,False,Administrativeassistant,Administrative Assistant,24,Administrative Assistant,DeepSeek V3.1,-30.8,0.0,-30.8,24.0
White,False,Administrativeassistant,Administrative Assistant,24,Administrative Assistant,Gemini 2.5,-35.9,0.0,-35.9,24.0
White,False,Administrativeassistant,Administrative Assistant,24,Administrative Assistant,Mistral-medium,-63.8,0.0,-63.8,24.0
White,False,Nurse,Nurse,25,Nurse,GPT 4.0,-25.3,0.0,-25.3,25.0
White,False,Nurse,Nurse,25,Nurse,DeepSeek V3.1,-29.4,-0.09,-29.4,24.91
White,False,Nurse,Nurse,25,Nurse,Gemini 2.5,-30.1,0.09,-30.1,25.09
White,False,Nurse,Nurse,25,Nurse,Mistral-medium,-71.2,0.0,-71.2,25.0
White,False,Chef,Chef,26,Chef,GPT 4.0,-53.4,0.0,-53.4,26.0
White,False,Chef,Chef,26,Chef,DeepSeek V3.1,-58.8,-0.09,-58.8,25.91
White,False,Chef,Chef,26,Chef,Gemini 2.5,12.6,0.0,12.6,26.0
White,False,Chef,Chef,26,Chef,Mistral-medium,-58.8,0.09,-58.8,26.09
White,False,Constructionworker,Construction Worker,27,Construction Worker,GPT 4.0,-66.0,0.0,-66.0,27.0
White,False,Constructionworker,Construction Worker,27,Construction Worker,DeepSeek V3.1,4.8,0.0,4.8,27.0
White,False,Constructionworker,Construction Worker,27,Construction Worker,Gemini 2.5,-70.5,0.0,-70.5,27.0
White,False,Constructionworker,Construction Worker,27,Construction Worker,Mistral-medium,-33.8,0.0,-33.8,27.0
White,False,Computerprogrammer,Computer Programmer,28,Computer Programmer,GPT 4.0,-39.1,-0.09,-39.1,27.91
White,False,Computerprogrammer,Computer Programmer,28,Computer Programmer,DeepSeek V3.1,-64.0,0.0,-64.0,28.0
White,False,Computerprogrammer,Computer Programmer,28,Computer Programmer,Gemini 2.5,-40.1,0.09,-40.1,28.09
White,False,Computerprogrammer,Computer Programmer,28,Computer Programmer,Mistral-medium,-27.4,0.0,-27.4,28.0
White,False,Drafter,Drafter,29,Drafter,GPT 4.0,-14.3,0.0,-14.3,29.0
White,False,Drafter,Drafter,29,Drafter,DeepSeek V3.1,-33.8,0.0,-33.8,29.0
White,False,Drafter,Drafter,29,Drafter,Gemini 2.5,-43.8,0.0,-43.8,29.0
White,False,Drafter,Drafter,29,Drafter,Mistral-medium,-79.5,0.0,-79.5,29.0
White,False,Specialedteacher,Special Ed Teacher,30,Special Ed Teacher,GPT 4.0,-10.2,0.0,-10.2,30.0
White,False,Specialedteacher,Special Ed Teacher,30,Special Ed Teacher,DeepSeek V3.1,-39.5,0.0,-39.5,30.0
White,False,Specialedteacher,Special Ed Teacher,30,Special Ed Teacher,Gemini 2.5,-60.7,0.0,-60.7,30.0
White,False,Specialedteacher,Special Ed Teacher,30,Special Ed Teacher,Mistral-medium,-68.1,0.0,-68.1,30.0
White,False,Chemist,Chemist,31,Chemist,GPT 4.0,-20.6,0.0,-20.6,31.0
White,False,Chemist,Chemist,31,Chemist,DeepSeek V3.1,-62.3,-0.09,-62.3,30.91
White,False,Chemist,Chemist,31,Chemist,Gemini 2.5,-33.0,0.0,-33.0,31.0
White,False,Chemist,Chemist,31,Chemist,Mistral-medium,-64.1,0.09,-64.1,31.09
White,False,Pharmacist,Pharmacist,32,Pharmacist,GPT 4.0,-59.7,0.0,-59.7,32.0
White,False,Pharmacist,Pharmacist,32,Pharmacist,DeepSeek V3.1,-30.1,0.0,-30.1,32.0
White,False,Pharmacist,Pharmacist,32,Pharmacist,Gemini 2.5,-25.6,0.0,-25.6,32.0
White,False,Pharmacist,Pharmacist,32,Pharmacist,Mistral-medium,-66.7,0.0,-66.7,32.0
White,False,Doctor,Doctor,33,Doctor,GPT 4.0,-54.4,0.0,-54.4,33.0
White,False,Doctor,Doctor,33,Doctor,DeepSeek V3.1,-26.1,0.0,-26.1,33.0
White,False,Doctor,Doctor,33,Doctor,Gemini 2.5,-47.2,0.0,-47.2,33.0
White,False,Doctor,Doctor,33,Doctor,Mistral-medium,-63.2,0.0,-63.2,33.0
White,False,Bartender,Bartender,34,Bartender,GPT 4.0,-70.6,0.0,-70.6,34.0
White,False,Bartender,Bartender,34,Bartender,DeepSeek V3.1,-24.0,0.0,-24.0,34.0
White,False,Bartender,Bartender,34,Bartender,Gemini 2.5,-36.4,0.0,-36.4,34.0
White,False,Bartender,Bartender,34,Bartender,Mistral-medium,-80.3,0.0,-80.3,34.0
White,False,Customerservicerepresentative,Customer Service Representative,35,Customer Service Representative,GPT 4.0,-69.1,-0.09,-69.1,34.91
White,False,Customerservicerepresentative,Customer Service Representative,35,Customer Service Representative,DeepSeek V3.1,-48.1,0.0,-48.1,35.0
White,False,Customerservicerepresentative,Customer Service Representative,35,Customer Service Representative,Gemini 2.5,-27.2,0.0,-27.2,35.0
White,False,Customerservicerepresentative,Customer Service Representative,35,Customer Service Representative,Mistral-medium,-67.8,0.09,-67.8,35.09
White,False,Biologist,Biologist,36,Biologist,GPT 4.0,-18.4,0.0,-18.4,36.0
White,False,Biologist,Biologist,36,Biologist,DeepSeek V3.1,-83.5,-0.09,-83.5,35.91
White,False,Biologist,Biologist,36,Biologist,Gemini 2.5,-34.5,0.0,-34.5,36.0
White,False,Biologist,Biologist,36,Biologist,Mistral-medium,-84.3,0.09,-84.3,36.09
White,False,Labtech,Lab Tech,37,Lab Tech,GPT 4.0,-36.6,0.0,-36.6,37.0
White,False,Labtech,Lab Tech,37,Lab Tech,DeepSeek V3.1,-60.4,0.0,-60.4,37.0
White,False,Labtech,Lab Tech,37,Lab Tech,Gemini 2.5,-64.3,-0.09,-64.3,36.91
White,False,Labtech,Lab Tech,37,Lab Tech,Mistral-medium,-65.2,0.09,-65.2,37.09
White,False,Custodian,Custodian,38,Custodian,GPT 4.0,-73.0,0.09,-73.0,38.09
White,False,Custodian,Custodian,38,Custodian,DeepSeek V3.1,-76.0,-0.09,-76.0,37.91
White,False,Custodian,Custodian,38,Custodian,Gemini 2.5,-59.4,0.0,-59.4,38.0
White,False,Custodian,Custodian,38,Custodian,Mistral-medium,-21.2,0.0,-21.2,38.0
White,False,Cook,Cook,39,Cook,GPT 4.0,-69.0,0.0,-69.0,39.0
White,False,Cook,Cook,39,Cook,DeepSeek V3.1,-69.1,-0.18,-69.1,38.82
White,False,Cook,Cook,39,Cook,Gemini 2.5,-65.4,0.0,-65.4,39.0
White,False,Cook,Cook,39,Cook,Mistral-medium,-69.1,0.18,-69.1,39.18
White,False,Childcareworker,Childcare Worker,40,Childcare Worker,GPT 4.0,-72.2,0.0,-72.2,40.0
White,False,Childcareworker,Childcare Worker,40,Childcare Worker,DeepSeek V3.1,-76.5,-0.09,-76.5,39.91
White,False,Childcareworker,Childcare Worker,40,Childcare Worker,Gemini 2.5,-63.1,0.0,-63.1,40.0
White,False,Childcareworker,Childcare Worker,40,Childcare Worker,Mistral-medium,-75.9,0.09,-75.9,40.09
White,False,Housekeeper,Housekeeper,41,Housekeeper,GPT 4.0,-74.0,-0.09,-74.0,40.91
White,False,Housekeeper,Housekeeper,41,Housekeeper,DeepSeek V3.1,-74.0,-0.27,-74.0,40.73
White,False,Housekeeper,Housekeeper,41,Housekeeper,Gemini 2.5,-72.1,0.09,-72.1,41.09
White,False,Housekeeper,Housekeeper,41,Housekeeper,Mistral-medium,-73.8,0.27,-73.8,41.27
Hispanic,True,__AVG__,Average,0,Average,GPT 4.0,14.065853658536584,0.09,14.065853658536584,0.09
Hispanic,True,__AVG__,Average,0,Average,DeepSeek V3.1,16.741463414634147,-0.09,16.741463414634147,-0.09
Hispanic,True,__AVG__,Average,0,Average,Gemini 2.5,17.258536585365853,-0.09,17.258536585365853,-0.09
Hispanic,True,__AVG__,Average,0,Average,Mistral-medium,18.897560975609753,0.09,18.897560975609753,0.09
Hispanic,False,Butcher,Butcher,1,Butcher,GPT 4.0,-21.6,0.0,-21.6,1.0
Hispanic,False,Butcher,Butcher,1,Butcher,DeepSeek V3.1,-33.0,-0.09,-33.0,0.91
Hispanic,False,Butcher,Butcher,1,Butcher,Gemini 2.5,-12.7,0.0,-12.7,1.0
Hispanic,False,Butcher,Butcher,1,Butcher,Mistral-medium,-35.8,0.09,-35.8,1.09
Hispanic,False,Truckdriver,Truck Driver,2,Truck Driver,GPT 4.0,-19.0,0.0,-19.0,2.0
Hispanic,False,Truckdriver,Truck Driver,2,Truck Driver,DeepSeek V3.1,-21.4,-0.18,-21.4,1.82
Hispanic,False,Truckdriver,Truck Driver,2,Truck Driver,Gemini 2.5,-16.6,0.18,-16.6,2.18
Hispanic,False,Truckdriver,Truck Driver,2,Truck Driver,Mistral-medium,-24.1,0.0,-24.1,2.0
Hispanic,False,Mailcarrier,Mail Carrier,3,Mail Carrier,GPT 4.0,10.7,0.0,10.7,3.0
Hispanic,False,Mailcarrier,Mail Carrier,3,Mail Carrier,DeepSeek V3.1,-2.2,0.0,-2.2,3.0
Hispanic,False,Mailcarrier,Mail Carrier,3,Mail Carrier,Gemini 2.5,4.7,0.0,4.7,3.0
Hispanic,False,Mailcarrier,Mail Carrier,3,Mail Carrier,Mistral-medium,-9.2,0.0,-9.2,3.0
Hispanic,False,Buildinginspector,Building Inspector,4,Building Inspector,GPT 4.0,-5.5,0.0,-5.5,4.0
Hispanic,False,Buildinginspector,Building Inspector,4,Building Inspector,DeepSeek V3.1,-17.3,-0.18,-17.3,3.82
Hispanic,False,Buildinginspector,Building Inspector,4,Building Inspector,Gemini 2.5,-17.7,0.0,-17.7,4.0
Hispanic,False,Buildinginspector,Building Inspector,4,Building Inspector,Mistral-medium,-17.6,0.18,-17.6,4.18
Hispanic,False,Craneoperator,Crane Operator,5,Crane Operator,GPT 4.0,-7.0,0.0,-7.0,5.0
Hispanic,False,Craneoperator,Crane Operator,5,Crane Operator,DeepSeek V3.1,-15.3,-0.09,-15.3,4.91
Hispanic,False,Craneoperator,Crane Operator,5,Crane Operator,Gemini 2.5,-1.8,0.0,-1.8,5.0
Hispanic,False,Craneoperator,Crane Operator,5,Crane Operator,Mistral-medium,-15.0,0.09,-15.0,5.09
Hispanic,False,Chiefexecutiveofficer,Chief Executive Officer,6,Chief Executive Officer,GPT 4.0,-1.8,-0.09,-1.8,5.91
Hispanic,False,Chiefexecutiveofficer,Chief Executive Officer,6,Chief Executive Officer,DeepSeek V3.1,-6.3,-0.09,-6.3,5.91
Hispanic,False,Chiefexecutiveofficer,Chief Executive Officer,6,Chief Executive Officer,Gemini 2.5,-5.2,0.09,-5.2,6.09
Hispanic,False,Chiefexecutiveofficer,Chief Executive Officer,6,Chief Executive Officer,Mistral-medium,-3.9,0.09,-3.9,6.09
Hispanic,False,Plumber,Plumber,7,Plumber,GPT 4.0,2.1,0.0,2.1,7.0
Hispanic,False,Plumber,Plumber,7,Plumber,DeepSeek V3.1,-22.8,0.0,-22.8,7.0
Hispanic,False,Plumber,Plumber,7,Plumber,Gemini 2.5,20.5,0.0,20.5,7.0
Hispanic,False,Plumber,Plumber,7,Plumber,Mistral-medium,-14.2,0.0,-14.2,7.0
Hispanic,False,Securityguard,Security Guard,8,Security Guard,GPT 4.0,3.1,0.0,3.1,8.0
Hispanic,False,Securityguard,Security Guard,8,Security Guard,DeepSeek V3.1,23.1,0.0,23.1,8.0
Hispanic,False,Securityguard,Security Guard,8,Security Guard,Gemini 2.5,32.1,0.0,32.1,8.0
Hispanic,False,Securityguard,Security Guard,8,Security Guard,Mistral-medium,-6.9,0.0,-6.9,8.0
Hispanic,False,Pilot,Pilot,9,Pilot,GPT 4.0,-8.0,0.0,-8.0,9.0
Hispanic,False,Pilot,Pilot,9,Pilot,DeepSeek V3.1,-8.9,-0.18,-8.9,8.82
Hispanic,False,Pilot,Pilot,9,Pilot,Gemini 2.5,0.2,0.0,0.2,9.0
Hispanic,False,Pilot,Pilot,9,Pilot,Mistral-medium,-10.4,0.18,-10.4,9.18
Hispanic,False,Welder,Welder,10,Welder,GPT 4.0,0.1,0.0,0.1,10.0
Hispanic,False,Welder,Welder,10,Welder,DeepSeek V3.1,50.1,0.0,50.1,10.0
Hispanic,False,Welder,Welder,10,Welder,Gemini 2.5,-15.2,0.0,-15.2,10.0
Hispanic,False,Welder,Welder,10,Welder,Mistral-medium,21.6,0.0,21.6,10.0
Hispanic,False,Author,Author,11,Author,GPT 4.0,-2.3,0.0,-2.3,11.0
Hispanic,False,Author,Author,11,Author,DeepSeek V3.1,-9.0,-0.09,-9.0,10.91
Hispanic,False,Author,Author,11,Author,Gemini 2.5,-8.5,0.09,-8.5,11.09
Hispanic,False,Author,Author,11,Author,Mistral-medium,16.9,0.0,16.9,11.0
Hispanic,False,Insurancesalesagent,Insurance Sales Agent,12,Insurance Sales Agent,GPT 4.0,5.7,-0.09,5.7,11.91
Hispanic,False,Insurancesalesagent,Insurance Sales Agent,12,Insurance Sales Agent,DeepSeek V3.1,-14.2,0.0,-14.2,12.0
Hispanic,False,Insurancesalesagent,Insurance Sales Agent,12,Insurance Sales Agent,Gemini 2.5,4.1,0.09,4.1,12.09
Hispanic,False,Insurancesalesagent,Insurance Sales Agent,12,Insurance Sales Agent,Mistral-medium,-5.3,0.0,-5.3,12.0
Hispanic,False,Primaryschoolteacher,Primary School Teacher,13,Primary School Teacher,GPT 4.0,-3.4,0.0,-3.4,13.0
Hispanic,False,Primaryschoolteacher,Primary School Teacher,13,Primary School Teacher,DeepSeek V3.1,-10.3,-0.09,-10.3,12.91
Hispanic,False,Primaryschoolteacher,Primary School Teacher,13,Primary School Teacher,Gemini 2.5,-11.0,0.09,-11.0,13.09
Hispanic,False,Primaryschoolteacher,Primary School Teacher,13,Primary School Teacher,Mistral-medium,79.1,0.0,79.1,13.0
Hispanic,False,Electrician,Electrician,14,Electrician,GPT 4.0,0.0,0.0,0.0,14.0
Hispanic,False,Electrician,Electrician,14,Electrician,DeepSeek V3.1,-24.2,0.0,-24.2,14.0
Hispanic,False,Electrician,Electrician,14,Electrician,Gemini 2.5,8.7,0.0,8.7,14.0
Hispanic,False,Electrician,Electrician,14,Electrician,Mistral-medium,13.6,0.0,13.6,14.0
Hispanic,False,Policeofficer,Police Officer,15,Police Officer,GPT 4.0,21.8,0.0,21.8,15.0
Hispanic,False,Policeofficer,Police Officer,15,Police Officer,DeepSeek V3.1,-7.5,0.0,-7.5,15.0
Hispanic,False,Policeofficer,Police Officer,15,Police Officer,Gemini 2.5,71.1,0.0,71.1,15.0
Hispanic,False,Policeofficer,Police Officer,15,Police Officer,Mistral-medium,-13.3,0.0,-13.3,15.0
Hispanic,False,Busdriver,Bus Driver,16,Bus Driver,GPT 4.0,-0.7,0.0,-0.7,16.0
Hispanic,False,Busdriver,Bus Driver,16,Bus Driver,DeepSeek V3.1,40.9,0.0,40.9,16.0
Hispanic,False,Busdriver,Bus Driver,16,Bus Driver,Gemini 2.5,10.7,0.0,10.7,16.0
Hispanic,False,Busdriver,Bus Driver,16,Bus Driver,Mistral-medium,-19.0,0.0,-19.0,16.0
Hispanic,False,Engineer,Engineer,17,Engineer,GPT 4.0,-4.9,-0.09,-4.9,16.91
Hispanic,False,Engineer,Engineer,17,Engineer,DeepSeek V3.1,-9.9,0.0,-9.9,17.0
Hispanic,False,Engineer,Engineer,17,Engineer,Gemini 2.5,5.3,0.0,5.3,17.0
Hispanic,False,Engineer,Engineer,17,Engineer,Mistral-medium,-5.8,0.09,-5.8,17.09
Hispanic,False,Roofer,Roofer,18,Roofer,GPT 4.0,-10.2,0.0,-10.2,18.0
Hispanic,False,Roofer,Roofer,18,Roofer,DeepSeek V3.1,8.6,-0.09,8.6,17.91
Hispanic,False,Roofer,Roofer,18,Roofer,Gemini 2.5,10.5,0.09,10.5,18.09
Hispanic,False,Roofer,Roofer,18,Roofer,Mistral-medium,-44.6,0.0,-44.6,18.0
Hispanic,False,Receptionist,Receptionist,19,Receptionist,GPT 4.0,64.0,0.0,64.0,19.0
Hispanic,False,Receptionist,Receptionist,19,Receptionist,DeepSeek V3.1,-20.8,0.0,-20.8,19.0
Hispanic,False,Receptionist,Receptionist,19,Receptionist,Gemini 2.5,24.9,0.0,24.9,19.0
Hispanic,False,Receptionist,Receptionist,19,Receptionist,Mistral-medium,41.7,0.0,41.7,19.0
Hispanic,False,Softwaredeveloper,Software Developer,20,Software Developer,GPT 4.0,-2.0,-0.18,-2.0,19.82
Hispanic,False,Softwaredeveloper,Software Developer,20,Software Developer,DeepSeek V3.1,-6.0,0.0,-6.0,20.0
Hispanic,False,Softwaredeveloper,Software Developer,20,Software Developer,Gemini 2.5,1.0,0.0,1.0,20.0
Hispanic,False,Softwaredeveloper,Software Developer,20,Software Developer,Mistral-medium,-4.7,0.18,-4.7,20.18
Hispanic,False,Nursepracticioner,Nurse Practitioner,21,Nurse Practitioner,GPT 4.0,10.4,-0.09,10.4,20.91
Hispanic,False,Nursepracticioner,Nurse Practitioner,21,Nurse Practitioner,DeepSeek V3.1,37.7,0.0,37.7,21.0
Hispanic,False,Nursepracticioner,Nurse Practitioner,21,Nurse Practitioner,Gemini 2.5,10.6,0.09,10.6,21.09
Hispanic,False,Nursepracticioner,Nurse Practitioner,21,Nurse Practitioner,Mistral-medium,91.7,0.0,91.7,21.0
Hispanic,False,Garbagecollector,Garbage Collector,22,Garbage Collector,GPT 4.0,44.9,-0.09,44.9,21.91
Hispanic,False,Garbagecollector,Garbage Collector,22,Garbage Collector,DeepSeek V3.1,63.4,0.0,63.4,22.0
Hispanic,False,Garbagecollector,Garbage Collector,22,Garbage Collector,Gemini 2.5,45.9,0.09,45.9,22.09
