"model","group","method","center_at","alpha","se_alpha","p_alpha","p_alpha_fdr","alpha_fmt","alpha_effect_pp_pct","alpha_code","beta","se_beta","p_beta","p_beta_fdr","beta_fmt","beta_dev_round","beta_code"
"Gemini","Asian","Raw",0.044,-1.39704336299627,0.170958124964576,3.03707627966004e-16,1.21483051186402e-15,"-1.397***",15.43,"+++",8.15506931801823,1.77787852681791,5.70968780032212e-05,0.000114193756006442,"8.155***",0.657,"+++"
"Gemini","Black","Raw",0.111,-3.80784746320352,0.289657248992158,1.79309126002871e-39,3.58618252005742e-38,"-3.808***",-8.93,"---",10.4458067906873,2.25643014465297,2.83697239031111e-05,7.09243097577778e-05,"10.446***",-0.738,"---"
"Gemini","Hispanic","Raw",0.182,-0.903653197771162,0.178292746735528,4.01241734267588e-07,8.91648298372419e-07,"-0.904***",10.63,"+++",6.70310241746889,1.40832769860427,5.13148144097113e-05,0.000114032920910469,"6.703***",0.409,"+++"
"Gemini","White","Raw",0.786,-0.630028104249974,0.158760129987997,7.2348387188759e-05,0.00013154252216138,"-0.63***",-43.85,"---",4.11278926011085,1.74846140431058,0.0750265570103044,0.0833628411225604,"4.113",-0.105,"--"
"Gemini","Women","Raw",0.36,-0.516954254735752,0.246881418362102,0.0362655500620607,0.0557931539416318,"-0.517",1.36,"+",4.67977615167865,0.91987287690747,6.32597104659475e-05,0.000115017655392632,"4.68***",-0.106,"--"
"Mistral","Asian","Raw",0.044,-2.6262841765165,0.485576782465547,6.35239981576396e-08,1.58809995394099e-07,"-2.626***",2.35,"++",17.6056390770529,4.34830457377496,0.000134060738822957,0.000206247290496858,"17.606***",1.668,"+++"
"Mistral","Black","Raw",0.111,-5.39719645772869,0.877088398561243,7.57733914281397e-10,2.52577971427132e-09,"-5.397***",-10.65,"---",17.870342537264,4.79331314945174,0.000432266886527236,0.000576355848702982,"17.87***",-0.88,"---"
"Mistral","Hispanic","Raw",0.182,-0.498721665245612,0.256131737320949,0.0515192094143275,0.0735988705918964,"-0.499",19.58,"+++",1.78287651032588,1.83867467296239,0.670265939010928,0.670265939010928,"1.783",-0.577,"---"
"Mistral","White","Raw",0.786,-0.240158643510217,0.254223247027079,0.344824226217365,0.431030282771706,"-0.24",-34.58,"---",3.7892499647615,2.70729081333271,0.302881638179933,0.318822777031508,"3.789",-0.091,"-"
"Mistral","Women","Raw",0.36,-0.14945872819147,0.335819989757021,0.656279227424587,0.656279227424587,"-0.149",10.27,"+++",9.58426161775751,1.98488316407063,1.52656733977969e-05,4.36162097079912e-05,"9.584***",0.126,"++"
"ChatGPT","Asian","Robust",0.044,-4.13342295549322,0.0141482731102729,0,0,"-4.133***",-2.82,"--",25.7899106331858,0.0988972826815776,0,0,"25.79***",1.592,"+++"
"ChatGPT","Black","Robust",0.111,-6.45035121526287,0.0322130149213381,0,0,"-6.45***",-10.94,"---",32.9898687108366,0.172695755418608,0,0,"32.99***",-0.842,"---"
"ChatGPT","Hispanic","Robust",0.182,-1.36918279576649,0.00469377823213288,0,0,"-1.369***",2.08,"++",9.65775527494413,0.0377251763814345,0,0,"9.658***",0.742,"+++"
"ChatGPT","White","Robust",0.786,0.239746133142124,0.00383166972755214,0,0,"0.24***",-22.63,"---",13.0722267601007,0.0496397877433216,0,0,"13.072***",1.708,"+++"
"ChatGPT","Women","Robust",0.347,-0.112243578903736,0.00657803341896905,2.77925708081058e-65,3.08806342312287e-65,"-0.112***",12.5,"+++",15.7834316098772,0.0596107315803373,0,0,"15.783***",0.169,"++"
"DeepSeek","Asian","Robust",0.0435,-5.04334266675827,0.0643748663836031,0,0,"-5.043***",-3.71,"---",37.4309411968989,0.468828049621474,0,0,"37.431***",2.805,"+++"
"DeepSeek","Black","Robust",0.106,-10.9117344886729,0.800048384308527,2.35262796944416e-42,2.47645049415175e-42,"-10.912***",-10.6,"---",33.2298831020051,3.28565460698524,1.02705795764283e-22,1.02705795764283e-22,"33.23***",-0.998,"---"
"DeepSeek","Hispanic","Robust",0.188,-1.49316154192439,0.020098960610919,0,0,"-1.493***",-0.46,"0",27.6520646266483,0.32614222788062,0,0,"27.652***",2.159,"+++"
"DeepSeek","White","Robust",0.789,0.454997406460435,0.0118190950857598,0,0,"0.455***",-17.72,"---",10.1254463656373,0.132223090911314,0,0,"10.125***",1.241,"+++"
"DeepSeek","Women","Robust",0.3535,-0.221971107893841,0.025689646810025,5.59729826841847e-18,5.59729826841847e-18,"-0.222***",9.12,"+++",27.6062523114365,0.431693439923963,0,0,"27.606***",0.193,"++"
"Gemini","Asian","Robust",0.044,-1.58434243776297,0.00470833939790206,0,0,"-1.584***",12.62,"+++",10.4090632373193,0.0489988098711569,0,0,"10.409***",1.053,"+++"
"Gemini","Black","Robust",0.111,-5.71375022973016,0.0278533894879157,0,0,"-5.714***",-10.77,"---",18.7049809543083,0.146405293643929,0,0,"18.705***",-0.905,"---"
"Gemini","Hispanic","Robust",0.182,-1.09936122182108,0.004092587089413,0,0,"-1.099***",6.79,"+++",7.92249170022562,0.032711133587044,0,0,"7.922***",0.562,"+++"
"Gemini","White","Robust",0.786,-0.647996809118433,0.00347413728816909,0,0,"-0.648***",-44.26,"---",4.34655293375665,0.038534262518218,0,0,"4.347***",-0.062,"-"
"Gemini","Women","Robust",0.36,-0.925520070196021,0.00487790699489897,0,0,"-0.926***",-7.62,"---",6.80852843317085,0.0199706545685297,0,0,"6.809***",0.053,"+"
"Mistral","Asian","Robust",0.044,-5.88742228345479,0.0275243308358645,0,0,"-5.887***",-4.12,"---",42.0704138679982,0.191303343521486,0,0,"42.07***",2.667,"+++"
"Mistral","Black","Robust",0.111,-10.8124457926541,0.165003671405212,0,0,"-10.812***",-11.1,"---",40.7035576001186,0.692861771179963,0,0,"40.704***",-0.996,"---"
"Mistral","Hispanic","Robust",0.182,-0.814957855846426,0.00355531548731634,0,0,"-0.815***",12.48,"+++",2.45220556378674,0.0247437990628621,0,0,"2.452***",-0.467,"---"
"Mistral","White","Robust",0.786,-0.242596234212629,0.00337796143403909,0,0,"-0.243***",-34.64,"---",5.83046258286572,0.0377276034926608,0,0,"5.83***",0.361,"+++"
"Mistral","Women","Robust",0.36,-0.285288379337568,0.00705460092917934,0,0,"-0.285***",6.92,"+++",19.4068628226017,0.0782077076253264,0,0,"19.407***",0.178,"++"
"ChatGPT","Asian","Trimmed5",0.044,-3.71479639680538,0.317755081953273,1.42119762139753e-31,1.42119762139753e-30,"-3.715***",-2.02,"--",25.3491151972934,2.59176925277966,5.73347357014942e-21,1.14669471402988e-19,"25.349***",1.753,"+++"
"ChatGPT","Black","Trimmed5",0.111,-4.70347366035217,0.564441394931469,7.88386139761604e-17,3.94193069880802e-16,"-4.703***",-10.2,"---",20.3566397821511,8.47567429282257,0.0223840172576465,0.0319771675109236,"20.357*",-0.744,"---"
"ChatGPT","Hispanic","Trimmed5",0.182,-0.932996753947774,0.223815481410891,3.06479068992304e-05,6.12958137984608e-05,"-0.933***",10.03,"+++",9.71798136224964,2.14092220270442,4.65975169627783e-05,0.000158840302818409,"9.718***",0.967,"+++"
"ChatGPT","White","Trimmed5",0.786,0.102621946313871,0.219190344850798,0.639651271357544,0.672111238054714,"0.103",-26.04,"---",10.4330457297499,3.01340173368121,0.00174589538797882,0.00349179077595764,"10.433**",1.385,"+++"
"ChatGPT","Women","Trimmed5",0.347,-0.165746638598224,0.25104415852302,0.509106872403422,0.598949261651084,"-0.166",11.17,"+++",10.7221987359865,1.67263985351179,6.155117227057e-09,6.155117227057e-08,"10.722***",0.165,"++"
"DeepSeek","Asian","Trimmed5",0.0435,-2.12902740596062,0.376662420143013,1.58269937792324e-08,4.52199822263782e-08,"-2.129***",6.28,"+++",15.5571991910754,4.21161218507696,0.000547354119256131,0.00121634248723585,"15.557**",1.689,"+++"
"DeepSeek","Black","Trimmed5",0.106,-11.3175518792459,1.33705548231863,2.57178412963261e-17,1.71452275308841e-16,"-11.318***",-10.6,"---",22.8132535719988,18.0739640558778,0.227475210599711,0.252750233999679,"22.813",-1,"---"
"DeepSeek","Hispanic","Trimmed5",0.188,-0.777625681607909,0.3177675476568,0.0143989859003292,0.0239983098338819,"-0.778*",12.68,"+++",11.0595205336246,3.36568794183285,0.00280033892110129,0.00509152531109325,"11.06**",1.264,"+++"
"DeepSeek","White","Trimmed5",0.789,0.401127890373614,0.278227804903546,0.149380061035698,0.199173414714265,"0.401",-19,"---",10.9518158947444,3.55482338527728,0.00511778999307778,0.00852964998846297,"10.952**",1.473,"+++"
"DeepSeek","Women","Trimmed5",0.3535,-0.165902429804969,0.353826986694005,0.639155347549648,0.672111238054714,"-0.166",10.51,"+++",11.398464026128,2.4515788639925,2.21993651329878e-05,0.000110996825664939,"11.398***",0.218,"+++"
"Gemini","Asian","Trimmed5",0.044,-1.35110427376158,0.181665267796472,1.02741835931722e-13,4.10967343726887e-13,"-1.351***",16.17,"+++",6.63891207829237,2.41031693916619,0.0193100949008925,0.0297078383090654,"6.639*",0.316,"+++"
"Gemini","Black","Trimmed5",0.111,-3.98745108226069,0.314668931414187,8.46465285530144e-37,1.69293057106029e-35,"-3.987***",-9.28,"---",11.7432507287025,5.47546184415445,0.0497540946959625,0.0663387929279499,"11.743",-0.762,"---"
"Gemini","Hispanic","Trimmed5",0.182,-0.905052907647355,0.192209056443881,2.49313613913894e-06,5.54030253141986e-06,"-0.905***",10.6,"+++",7.4777161460702,1.69997380969082,0.000138697251755067,0.000396277862157335,"7.478***",0.568,"+++"
"Gemini","White","Trimmed5",0.786,-0.5797607346229,0.169213038728053,0.000612049264692975,0.00111281684489632,"-0.58**",-42.7,"---",3.82527984080317,2.15668635897776,0.190192586996544,0.223755984701816,"3.825",-0.15,"--"
"Gemini","Women","Trimmed5",0.36,-0.515557133313749,0.247504158894604,0.0372490248509135,0.0573061920783285,"-0.516",1.39,"+",4.32132321103425,0.952921435407467,0.000491380965920641,0.00121634248723585,"4.321**",-0.137,"--"
"Mistral","Asian","Trimmed5",0.044,-2.98834862563253,0.512923743754205,5.67352401392834e-09,1.89117467130945e-08,"-2.988***",0.4,"0",26.4392381044729,5.38115699743213,2.27338833078894e-06,1.51559222052596e-05,"26.439***",2.97,"+++"
"Mistral","Black","Trimmed5",0.111,-5.20284462542759,0.935789962929266,2.70018511488151e-08,6.75046278720378e-08,"-5.203***",-10.55,"---",13.2904493110379,15.7459824186941,0.435070096174827,0.435070096174827,"13.29",-0.915,"---"
"Mistral","Hispanic","Trimmed5",0.182,-0.525508474133642,0.264445738879685,0.046899441219275,0.0669992017418214,"-0.526",18.96,"+++",3.55653235244949,2.22813366578155,0.25122157253834,0.264443760566674,"3.557",-0.164,"--"
"Mistral","White","Trimmed5",0.786,-0.28379427552075,0.276505754465641,0.304722215931733,0.380902769914667,"-0.284",-35.65,"---",6.26324706403197,3.59610596757298,0.143304308787972,0.179130385984965,"6.263",0.454,"+++"
"Mistral","Women","Trimmed5",0.36,-0.146495591216883,0.34611888215956,0.672111238054714,0.672111238054714,"-0.146",10.34,"+++",9.43917656481591,2.07511179711299,4.76520908455228e-05,0.000158840302818409,"9.439***",0.151,"++"
